"tv","x","y","label"
"5","142.8278","43.46722","北海道"
"3","140.8319","40.78028","青森県"
"4","141.3625","39.59139","岩手県"
"4","140.9281","38.44556","宮城県"
"3","140.4086","39.7475","秋田県"
"4","140.1028","38.44639","山形県"
"4","140.2253","37.37889","福島県"
"5","140.3186","36.30639","茨城県"
"6","139.8192","36.68917","栃木県"
"6","138.9853","36.50389","群馬県"
"6","139.3478","35.99667","埼玉県"
"6","140.2039","35.51278","千葉県"
"6","139.5986","35.61833","東京都"
"6","139.3403","35.41417","神奈川県"
"4","138.9172","37.51889","新潟県"
"3","137.2681","36.63611","富山県"
"4","136.7714","36.76583","石川県"
"3","136.2272","35.84667","福井県"
"5","138.6117","35.61222","山梨県"
"4","138.0439","36.13","長野県"
"6","137.055","35.7775","岐阜県"
"4","138.33","35.01694","静岡県"
"5","137.215","35.03444","愛知県"
"6","136.3814","34.51361","三重県"
"6","136.1381","35.21528","滋賀県"
"6","135.4458","35.25194","京都府"
"5","135.5111","34.62278","大阪府"
"6","134.8286","35.03694","兵庫県"
"6","135.8714","34.31556","奈良県"
"6","135.5133","33.90944","和歌山県"
"3","133.8517","35.36056","鳥取県"
"3","132.5594","35.07306","島根県"
"5","133.8153","34.90083","岡山県"
"4","132.7875","34.60361","広島県"
"3","131.575","34.19861","山口県"
"5","134.2431","33.91806","徳島県"
"5","133.9967","34.24306","香川県"
"4","132.8558","33.62194","愛媛県"
"3","133.3667","33.42111","高知県"
"5","130.6681","33.5225","福岡県"
"4","130.1169","33.28528","佐賀県"
"4","130.000","32.775","長崎県"
"4","130.7564","32.615","熊本県"
"4","131.4342","33.19917","大分県"
"2","131.3006","32.19083","宮崎県"
"4","130.5242","31.63278","鹿児島県"
"3","133.2153","43.06722","沖縄県"